image,implementation,seconds,speedup
baboon_512,cuda,0.00300391,65.19602784371037
baboon_512,mpi,0.0442751,4.423321460595233
baboon_512,mpi_cuda,0.000527002,371.61718551352743
baboon_512,openmp,0.0272272,7.192917376740906
baboon_512,openmp_target,0.123693,1.5832989740729062
baboon_512,sequential,0.195843,1.0
fruits_512,cuda,0.00299421,92.82982823516052
fruits_512,mpi,0.037612,7.389981920663617
fruits_512,mpi_cuda,0.00050341,552.1384160028604
fruits_512,openmp,0.0429419,6.472745733188331
fruits_512,openmp_target,0.130874,2.1238137445176277
fruits_512,sequential,0.277952,1.0
lena_1024,cuda,0.00928177,118.15957516723643
lena_1024,mpi,0.138109,7.941046564669934
lena_1024,mpi_cuda,0.00101999,1075.2360317258012
lena_1024,openmp,0.0686493,15.975836607219593
lena_1024,openmp_target,0.496727,2.207912998488103
lena_1024,sequential,1.09673,1.0
lena_2048,cuda,0.0256517,74.61532763910384
lena_2048,mpi,0.633369,3.021950869082636
lena_2048,mpi_cuda,0.00368781,519.0099273010269
lena_2048,openmp,0.268096,7.1392710074003345
lena_2048,openmp_target,1.98758,0.962985137705149
lena_2048,sequential,1.91401,1.0
lena_512,cuda,0.00238933,83.24844203186667
lena_512,mpi,0.036859,5.396456767682248
lena_512,mpi_cuda,0.00058329,341.0104750638619
lena_512,openmp,0.0384192,5.177307179743462
lena_512,openmp_target,0.280913,0.7080768778945794
lena_512,sequential,0.198908,1.0
